name
Ciclomotor
Motoneta
Motocicleta
Triciclo
Automóvel
Microônibus
Ônibus
Reboque
Semi-Reboque
Camioneta
Caminhão
Caminhão-Trator
Tr Rodas
Tr Esteiras
Tr Misto
Quadriciclo
Chassi Plataforma
Caminhonete
Utilitário
Motor casa
